0.41737,0.40062,0.38666,0.36991,0.38247,0.41877,0.51369,0.57093,0.70354,0.73286,0.76357,0.71052,0.66167,0.66725,0.66027,0.66306,0.72728,0.78172,0.85012,0.83616,0.81243,0.72588,0.59466,0.47042
0.43479,0.41769,0.40344,0.38634,0.39917,0.43622,0.53312,0.59155,0.72693,0.75686,0.78821,0.73406,0.68418,0.68988,0.68275,0.6856,0.75116,0.80673,0.87656,0.86231,0.83808,0.74973,0.61578,0.48894
0.59508,0.58316,0.57322,0.5613,0.57024,0.59607,0.66361,0.70434,0.7987,0.81956,0.84142,0.80367,0.7689,0.77288,0.76791,0.7699,0.81559,0.85433,0.903,0.89307,0.87618,0.8146,0.72123,0.63282
0.43479,0.41769,0.40344,0.38634,0.39917,0.43622,0.53312,0.59155,0.72693,0.75686,0.78821,0.73406,0.68418,0.68988,0.68275,0.6856,0.75116,0.80673,0.87656,0.86231,0.83808,0.74973,0.61578,0.48894
0.40866,0.39208,0.37827,0.36169,0.37412,0.41004,0.50398,0.56062,0.69185,0.72086,0.75125,0.69876,0.65041,0.65593,0.64903,0.65179,0.71534,0.76921,0.8369,0.82309,0.7996,0.71395,0.5841,0.46115
0.34768,0.33232,0.31952,0.30417,0.31568,0.34896,0.43597,0.48844,0.61,0.63688,0.66503,0.6164,0.57161,0.57673,0.57033,0.57289,0.63176,0.68166,0.74437,0.73157,0.70982,0.63048,0.51019,0.3963
0.32154,0.30671,0.29435,0.27952,0.29064,0.32278,0.40683,0.4575,0.57493,0.60088,0.62807,0.58111,0.53784,0.54279,0.53661,0.53908,0.59594,0.64414,0.70471,0.69235,0.67134,0.5947,0.47852,0.36851
0.41737,0.40062,0.38666,0.36991,0.38247,0.41877,0.51369,0.57093,0.70354,0.73286,0.76357,0.71052,0.66167,0.66725,0.66027,0.66306,0.72728,0.78172,0.85012,0.83616,0.81243,0.72588,0.59466,0.47042
0.43479,0.41769,0.40344,0.38634,0.39917,0.43622,0.53312,0.59155,0.72693,0.75686,0.78821,0.73406,0.68418,0.68988,0.68275,0.6856,0.75116,0.80673,0.87656,0.86231,0.83808,0.74973,0.61578,0.48894
0.59508,0.58316,0.57322,0.5613,0.57024,0.59607,0.66361,0.70434,0.7987,0.81956,0.84142,0.80367,0.7689,0.77288,0.76791,0.7699,0.81559,0.85433,0.903,0.89307,0.87618,0.8146,0.72123,0.63282
0.43479,0.41769,0.40344,0.38634,0.39917,0.43622,0.53312,0.59155,0.72693,0.75686,0.78821,0.73406,0.68418,0.68988,0.68275,0.6856,0.75116,0.80673,0.87656,0.86231,0.83808,0.74973,0.61578,0.48894
